 a.i. artificial+intelligence
 Apr April
 Apr. April
 ariz. Arizona
 Aug August
 Aug. August
 colo. Colorado
 Corp Corporation
 Corp. Corporation
 Dec December
 Dec. December
 e.g. for+example
 ex. for+example
 FB Facebook
 Feb February
 Feb. February
 fla. Florida
 ft feet
 ft. feet
 i.e. for+example
 Inc Incorporated
 Inc. Incorporated
 Jan January 
 Jan. January
 Jul. July
 Jun June
 Jun. June
 kg kilogram
 kg. kilogram
 kgs. kilograms
 lb pound
 lb. pound
 lbs pounds
 lbs. pounds
 Ltd Limited
 Ltd. Limited
 Mar. March
 mich. Michigan
 minn. Minnesota
 Mr Mr.
 Mrs Mrs.
 Mt. Mount
 nev. Nevada
 Nov November
 Nov. November
 Oct October
 Oct. October
 okla. Oklahoma
 oz ounce
 oz. ounce
 PLC. PLC
 Sep September
 sep. September
 Sept September
 Sept. September
 u_s_a U.S.A.
 USA U.S.A.
 v. versus
 vs. versus
 w/ with
 yr year
 yr. year
